id,public_categ_ids,is_published,priority,name,list_price,website_sequence,purchase_ok,standard_price,detailed_type,categ_id/id,description_sale
victorikus_mini_pie_maracuya,"","",Normal,Mini pie de Maracuyá,5.0,10033,false,0.0,product,product.product_category_1,"Porción individual de pie de Maracuyá, elaborado con una base de masa Sablée, relleno hecho con pulpa de Maracuyá natural."
victorikus_tres_leches_cafe,"","",Normal,Tres Leches de Café,10.0,10034,false,0.0,product,product.product_category_1,"Porción individual de tres leches, elaborado con café de grano recién molido en las leches y en la crema."
victorikus_tres_leches_tradicional,"","",Normal,Tres Leches Tradicional,10.0,10035,false,0.0,product,product.product_category_1,"Porción individual de tres leches, elaborado con bizcocho tipo esponja, ideal para absorber nuestras leches."
victorikus_tres_leches_maracuya,"","",Normal,Tres Leches de Maracuyá,10.0,10036,false,0.0,product,product.product_category_1,"Porción individual de tres leches, elaborado con pulpa de maracuyá en las leches, una mermelada casera sobre la crema repostera."
victorikus_mini_pie_mango_limon,"","",Normal,Mini pie de Mango con Limón,5.0,10038,false,0.0,product,product.product_category_1,"Porción individual de pie de Mango con toques de limón, elaborado con una base de masa Sablée, relleno hecho con pulpa de mango y con toques de jugo de limón."
victorikus_mini_pie_limon,"","",Normal,Mini pie de Limón,5.0,10039,false,0.0,product,product.product_category_1,"Porción individual de pie de limón, elaborado con una base de masa Sablée, relleno hecho con jugo de limón natural."
victorikus_pie_limon,"","",Normal,Pie de limón,80.0,10040,false,0.0,product,product.product_category_1,"Pie de limón, elaborado con una base de masa Sablée, relleno hecho con jugo de limón natural, mide 28 cm"
victorikus_pie_mango_limon,"","",Normal,Pie de Mango con limón,110.0,10041,false,0.0,product,product.product_category_1,"Pie de Mango con toques de limón, elaborado con una base de masa Sablée, relleno hecho con pulpa de mango y con toques de jugo de limón, mide 28 cm."
victorikus_pie_maracuya,"","",Normal,Pie de Maracuyá,80.0,100342,false,0.0,product,product.product_category_1,"Pie de Maracuyá, elaborado con una base de masa Sablée, relleno hecho con pulpa de Maracuyá natural, mide 28 cm."
victorikus_torta_tres_leches_cafe,"","",Normal,Torta Tres Leches de Café,110.0,100343,false,0.0,product,product.product_category_1,"Torta entera de tres leches, elaborado con café de grano recién molido en las leches y en la crema."
victorikus_torta_tres_leches_tradicional,"","",Normal,Torta Tres Leches de Tradicional,110.0,100344,false,0.0,product,product.product_category_1,"Torta Entera de tres leches, elaborado con bizcocho tipo esponja, ideal para absorber nuestras leches."
victorikus_torta_tres_leches_maracuya,"","",Normal,Torta Tres Leches de Maracuyá,110.0,100345,false,0.0,product,product.product_category_1,"Torta Entera de tres leches, elaborado con pulpa de maracuyá en las leches, una mermelada casera sobre la crema repostera."
